,Unnamed: 0,arg0,arg1,v
501,501, by prions, rare transmittable degenerative disorder of the brain, caused
502,502, by spongiform degeneration of the cerebral and cerebellar cortex, it, characterized
505,505, by spongiform degeneration of the cerebral and cerebellar cortex, humans, characterized
509,509, A familial form, CJD ( potentially associated with, exhibiting
512,512, by a single autosomal dominant gene, The disorder, transmitted
515,515, by the patient, Subjective evidence of disease, perceived
517,517, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
523,523, a serious disorder, with your daily life, interferes
525,525, the cells of the brain, working, stop
529,529, Lewy body dementia, movement symptoms along with dementia, causes
530,530, Frontotemporal disorders, changes to certain parts of the brain, cause
531,531, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
534,534, Dementia," problems with the ability to think , problem solve , and reason", causes
541,541, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
547,547, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
551,551, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
555,555, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
557,557, An, with social or occupational functioning, interfere
559,559, The intellectual decline, the level of consciousness, spares
566,566, they, both sides, affect
570,570, Doctors, a medical history and a neurological examination, use
572,572, A variety of medicines, symptoms dramatically, help
575,575, They, electrical pulses, send
576,576, by a TREMOR that is maximal at rest, degenerative neurologic disease, characterized
580,580, by loss of dopamine producing neurons in the substantia nigra and the presence of Lewy bodies in the substantia nigra and locus, pp1067 - 75)A progressive degenerative disorder of the central nervous system, characterized
582,582, by muscle tremors, the nervous system, marked
586,586, a serious disorder, with your daily life, interferes
588,588, the cells of the brain, working, stop
592,592, Lewy body dementia, movement symptoms along with dementia, causes
593,593, Frontotemporal disorders, changes to certain parts of the brain, cause
594,594, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
597,597, Dementia," problems with the ability to think , problem solve , and reason", causes
604,604, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
610,610, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
614,614, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
618,618, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
620,620, An, with social or occupational functioning, interfere
622,622, The intellectual decline, the level of consciousness, spares
625,625, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
631,631, a serious disorder, with your daily life, interferes
633,633, the cells of the brain, working, stop
637,637, Lewy body dementia, movement symptoms along with dementia, causes
638,638, Frontotemporal disorders, changes to certain parts of the brain, cause
639,639, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
642,642, Dementia," problems with the ability to think , problem solve , and reason", causes
649,649, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
655,655, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
659,659, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
663,663, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
665,665, An, with social or occupational functioning, interfere
667,667, The intellectual decline, the level of consciousness, spares
668,668, by the human immunodeficiency virus, An infection, caused
669,669, by the human immunodeficiency virus, Infection, caused
673,673, The prognosis, on the course of the underlying lesion, depends
676,676, by concurrent disturbances of consciousness and attention, An etiologically nonspecific organic cerebral syndrome, characterized
680,680, a condition, rapidly changing mental states, features
681,681, It, confusion and changes in behavior, causes
691,691, People with delirium, a full recovery, make
694,694," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
695,695," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
698,698, by CONFUSION, A disorder, characterized
701,701, It," thoughts , memory , speech , and movement", controls
702,702, It, the function of many organs, regulates
708,708, we," what causes some brain diseases , such as Alzheimer 's disease", know
711,711, Pathologic conditions," the BRAIN , which is composed of the intracranial components of the CENTRAL NERVOUS SYSTEM", affecting
713,713, A non - neoplastic or neoplastic disorder, the brain, affects
715,715, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
718,718, A clinical course, indicating that a disease presents with systemic manifestations, finding
719,719, Disease, the whole body, affects
722,722, These glands, hormones, make
730,730, A non - neoplastic or neoplastic disorder, the endocrine system, affects
739,739, by a false sensory perception, A disorder, characterized
740,740, by the individual, an appropriate stimulus, regarded
742,742, A false belief, the self or persons or objects, regarding
743,743, by false personal beliefs, A disorder, characterized
745,745, False personal beliefs, contrary, held
746,746, A disorder of, ( excitement, increased
747,747, The extremes of psychomotor disturbance, alternate, may
748,748, by the patient, Subjective evidence of disease, perceived
750,750, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
754,754, The person, make voluntary movements, can
759,759, persistent or recurrent delusions, the clinical picture, dominate
763,763, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
768,768, they, sense, make
769,769, The disorder, it hard for them to keep a job or take care of themselves, makes
772,772, Psychotic symptoms, a person 's thinking, distort
774,774," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
776,776, Cognitive symptoms, the thought process, affect
778,778, what, schizophrenia, causes
785,785, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
786,786, It, the cognitive and psychomotor functions, affects
788,788, a person, the difference between real and unreal experiences, telling
790,790," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
791,791, A false belief, the self or persons or objects, regarding
792,792, by false personal beliefs, A disorder, characterized
794,794, False personal beliefs, contrary, held
798,798, by a false sensory perception, A disorder, characterized
799,799, by the individual, an appropriate stimulus, regarded
801,801, by a change in mood or affect, Disorders, characterized
802,802, Most people, sad or irritable, feel
804,804, It, a person 's everyday emotional state, affects
811,811, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
814,814," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
815,815," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
816,816," by the essential descriptive features of a generalized anxiety disorder , a panic disorder , or a combination of both", A disorder, characterized
818,818, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
822,822," by restlessness , fatigue , inability to concentrate , irritability , muscle tension , and/or sleep disturbance and lasts for at least 6 months", The worry, accompanied
823,823," by excessive worry and feelings of fear , dread , and uneasiness that last six months or longer", A condition, marked
825,825, It," panic attacks , which are sudden feelings of terror when there is no real danger", causes
835,835, by multiple unexpected panic attacks with persistent concern of recurring attacks, National Institute of Mental HealthAn anxiety disorder, characterized
837,837, by unexpected panic attacks, A type of anxiety disorder, characterized
846,846, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
854,854," by a disturbing sensation of lightheadedness , unsteadiness , giddiness , spinning or rocking", A disorder, characterized
859,859, by a sensation, A disorder, characterized
864,864, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
874,874, you, pain, felt
880,880, Treatment, on the cause and type of pain, depends
893,893, by the patient, Subjective evidence of disease, perceived
894,894, The organic and psychogenic disturbances, CLOSED ), observed
897,897, a condition, rapidly changing mental states, features
898,898, It, confusion and changes in behavior, causes
908,908, People with delirium, a full recovery, make
911,911," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
912,912," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
915,915, by CONFUSION, A disorder, characterized
918,918, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
924,924, a serious disorder, with your daily life, interferes
926,926, the cells of the brain, working, stop
930,930, Lewy body dementia, movement symptoms along with dementia, causes
931,931, Frontotemporal disorders, changes to certain parts of the brain, cause
932,932, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
935,935, Dementia," problems with the ability to think , problem solve , and reason", causes
942,942, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
948,948, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
952,952, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
956,956, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
958,958, An, with social or occupational functioning, interfere
960,960, The intellectual decline, the level of consciousness, spares
966,966, by these conditions, the problems, brought
971,971, Your health care provider, check to see if you have any changes in your memory or thinking skills over time, can
973,973, by a deterioration in memory function, A disorder, characterized
975,975, It," thoughts , memory , speech , and movement", controls
976,976, It, the function of many organs, regulates
982,982, we," what causes some brain diseases , such as Alzheimer 's disease", know
985,985, Pathologic conditions," the BRAIN , which is composed of the intracranial components of the CENTRAL NERVOUS SYSTEM", affecting
987,987, A non - neoplastic or neoplastic disorder, the brain, affects
990,990, by a conspicuous change in a person 's behavior and thinking, A disorder, characterized
992,992, by a significant alteration of the habitual patterns of behaviour displayed by the subject premorbidly, A disorder, characterized
994,994, by a conspicuous change in cognitive function, A disorder, characterized
997,997, by intrinsic disease which is characterized by persistent alteration of a known behavioral pattern, 2005A mental disorder, caused
1001,1001, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1005,1005, by intrinsic disease which is characterized by persistent alteration of a known behavioral pattern, A mental disorder, caused
1009,1009, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1013,1013, by the patient, Subjective evidence of disease, perceived
1014,1014, The organic and psychogenic disturbances, CLOSED ), observed
1019,1019," by a disturbing sensation of lightheadedness , unsteadiness , giddiness , spinning or rocking", A disorder, characterized
1023,1023, by a sensation, A disorder, characterized
1032,1032, This," they are the symptom or side effect of some other problem , such as certain medical conditions , medicines , and other sleep disorders", means
1034,1034, This, that it is not caused by something else, means
1037,1037, It, women, affects
1047,1047, Your provider, ask you for details about your sleep habits, will
1048,1048, a physical exam, other medical problems that might cause insomnia May, rule
1057,1057, Almost everyone, a headache, had
1058,1058, people, days at work or school, miss
1062,1062, Not all headaches, a doctor 's attention, require
1067,1067," by a sensation of marked discomfort in various parts of the head , not confined to the area of distribution of any nerve", A disorder, characterized
1069,1069, Everyone, tired, feels
1071,1071, most people, refreshed and ready to face a new day, feel
1078,1078, by extreme tiredness and inability to function due lack of, AgingA condition, marked
1081,1081, by a state of generalized weakness, A disorder, characterized
1085,1085, by a deterioration in memory function, A disorder, characterized
3,3, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
5,5, a beverage, ethanol, containing
6,6, a condition, rapidly changing mental states, features
7,7, It, confusion and changes in behavior, causes
17,17, People with delirium, a full recovery, make
20,20," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
21,21," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
24,24, by CONFUSION, A disorder, characterized
26,26, An individual in a coma, his or her environment, move
29,29, The outcome for coma," on the cause , severity , and site of the damage", depends
42,42, people, of seizures, think
43,43, Not all seizures, convulsions, cause
50,50, who, seizures, recurring
52,52," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
57,57, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
61,61, A pattern of psychoactive substance use, damage to health, causing
63,63, It," digest food , store energy", helps
64,64, Viruses, most cases of hepatitis, cause
67,67, your body, healthy cells in the liver, attacks
78,78, It," digest food , store energy", helps
79,79, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
88,88, The hepatitis A vaccine, prevent HAV, can
94,94, by the hepatitis A virus, the liver, caused
96,96, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
100,100," A primary , chronic disease with genetic , psychosocial , and environmental factors", its development and manifestations, influencing
104,104, A person with this disease, to drink greater amounts to get the same effect and has withdrawal symptoms after stopping, needs
105,105, Alcoholism, physical and mental health, affects
112,112, people, of seizures, think
113,113, Not all seizures, convulsions, cause
120,120, who, seizures, recurring
122,122," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
126,126, by the patient," "" Subjective evidence of disease", perceived
128,128, by delirium, 3, complicated
131,131, a condition, rapidly changing mental states, features
132,132, It, confusion and changes in behavior, causes
142,142, People with delirium, a full recovery, make
145,145," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
146,146," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
149,149, by CONFUSION, A disorder, characterized
154,154, people, of seizures, think
155,155, Not all seizures, convulsions, cause
162,162, who, seizures, recurring
164,164," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
169,169, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
173,173," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
178,178, by a false sensory perception, A disorder, characterized
179,179, by the individual, an appropriate stimulus, regarded
181,181, mental disorders, abnormal thinking and perceptions, cause
182,182, People with psychoses, touch, lose
187,187, Treatment, on the cause of the psychosis, depends
190,190, a person, the ability to recognize reality or relate to others, loses
191,191, The person, with the demands of everyday life, cope
193,193," by personality change ,", A mental disorder, characterized
194,194," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
196,196, by impaired reality which may include perceptual disturbances, A mental state, characterized
199,199, conditions," your thinking , feeling , mood , and behavior", affect
206,206, You," answer questions about your thinking , feelings , and behaviors", will
207,207, Treatment, on which mental disorder you have and how serious it is, depends
208,208, You and your provider, work on a treatment plan just for you, will
211,211, Some people, social support and education, need
217,217, by behavioral and/or psychological abnormalities, A disorder, characterized
222,222, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
225,225, A false belief, the self or persons or objects, regarding
226,226, by false personal beliefs, A disorder, characterized
228,228, False personal beliefs, contrary, held
230,230, The person, make voluntary movements, can
233,233," by bewilderment , emotional disturbance", A mental state, characterized
235,235, by a lack of clear and orderly thought and behavior, A disorder, characterized
254,254, conditions," your thinking , feeling , mood , and behavior", affect
261,261, You," answer questions about your thinking , feelings , and behaviors", will
262,262, Treatment, on which mental disorder you have and how serious it is, depends
263,263, You and your provider, work on a treatment plan just for you, will
266,266, Some people, social support and education, need
272,272, by behavioral and/or psychological abnormalities, A disorder, characterized
277,277, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
283,283, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
284,284, An individual in a coma, his or her environment, move
287,287, The outcome for coma," on the cause , severity , and site of the damage", depends
297,297, a condition, rapidly changing mental states, features
298,298, It, confusion and changes in behavior, causes
308,308, People with delirium, a full recovery, make
311,311," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
312,312," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
315,315, by CONFUSION, A disorder, characterized
320,320, people, of seizures, think
321,321, Not all seizures, convulsions, cause
328,328, who, seizures, recurring
330,330," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
335,335, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
338,338, A pattern of psychoactive substance use, damage to health, causing
340,340, It," digest food , store energy", helps
341,341, Viruses, most cases of hepatitis, cause
344,344, your body, healthy cells in the liver, attacks
355,355, It," digest food , store energy", helps
356,356, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
365,365, The hepatitis A vaccine, prevent HAV, can
371,371, by the hepatitis A virus, the liver, caused
373,373, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
377,377, dependence," the term "" drug addiction", replaced
386,386, people, of seizures, think
387,387, Not all seizures, convulsions, cause
394,394, who, seizures, recurring
396,396," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
400,400, by the patient," "" Subjective evidence of disease", perceived
402,402, by delirium, 3, complicated
405,405, a condition, rapidly changing mental states, features
406,406, It, confusion and changes in behavior, causes
416,416, People with delirium, a full recovery, make
419,419," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
420,420," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
423,423, by CONFUSION, A disorder, characterized
428,428, people, of seizures, think
429,429, Not all seizures, convulsions, cause
436,436, who, seizures, recurring
438,438," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
443,443, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
447,447," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
452,452, by a false sensory perception, A disorder, characterized
453,453, by the individual, an appropriate stimulus, regarded
455,455, mental disorders, abnormal thinking and perceptions, cause
456,456, People with psychoses, touch, lose
461,461, Treatment, on the cause of the psychosis, depends
464,464, a person, the ability to recognize reality or relate to others, loses
465,465, The person, with the demands of everyday life, cope
467,467," by personality change ,", A mental disorder, characterized
468,468, by impaired reality which may include perceptual disturbances, A mental state, characterized
469,469," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
473,473, conditions," your thinking , feeling , mood , and behavior", affect
480,480, You," answer questions about your thinking , feelings , and behaviors", will
481,481, Treatment, on which mental disorder you have and how serious it is, depends
482,482, You and your provider, work on a treatment plan just for you, will
485,485, Some people, social support and education, need
491,491, by behavioral and/or psychological abnormalities, A disorder, characterized
496,496, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
499,499, A false belief, the self or persons or objects, regarding
500,500, by false personal beliefs, A disorder, characterized
502,502, False personal beliefs, contrary, held
504,504, The person, make voluntary movements, can
507,507," by bewilderment , emotional disturbance", A mental state, characterized
510,510, by a lack of clear and orderly thought and behavior, A disorder, characterized
527,527, conditions," your thinking , feeling , mood , and behavior", affect
534,534, You," answer questions about your thinking , feelings , and behaviors", will
535,535, Treatment, on which mental disorder you have and how serious it is, depends
536,536, You and your provider, work on a treatment plan just for you, will
539,539, Some people, social support and education, need
545,545, by behavioral and/or psychological abnormalities, A disorder, characterized
550,550, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
556,556, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
557,557, An individual in a coma, his or her environment, move
560,560, The outcome for coma," on the cause , severity , and site of the damage", depends
570,570, a condition, rapidly changing mental states, features
571,571, It, confusion and changes in behavior, causes
581,581, People with delirium, a full recovery, make
584,584," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
585,585," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
